artist_name,artist_url,event_datetime,event_venue.region,event_url,event_venue.url,event_venue.city,event_venue.latitude,event_venue.longitude,event_venue.name,event_id,event_venue.id
D-A-D,http://www.bandsintown.com/D-A-D,2012-02-26T19:00:00,03,http://www.bandsintown.com/event/4658627?app_id=epfl,http://www.bandsintown.com/venue/993456,Pratteln,47.520515,7.691785,Galery,4658627,993456
D-A-D Live 2012,http://www.bandsintown.com/D-a-dLive2012,2012-02-26T20:00:00,01,http://www.bandsintown.com/event/4988459?app_id=epfl,http://www.bandsintown.com/venue/43060,Pratteln,47.5166667,7.6833333,Z7,4988459,43060
Melissa Etheridge,http://www.bandsintown.com/MelissaEtheridge,2012-02-26T20:00:00,Switzerland,http://www.bandsintown.com/event/4663602?app_id=epfl,http://www.bandsintown.com/venue/686165,Zurich,47.375485,8.527116,Volkshaus Zürich,4663602,686165
On-Off Booking,http://www.bandsintown.com/On-offBooking,2012-02-26T23:00:00,01,http://www.bandsintown.com/event/4976267?app_id=epfl,http://www.bandsintown.com/venue/1317973,Brittnau,47.25,7.95,Nachtschicht,4976267,1317973
Axel Bk - Fan Page,http://www.bandsintown.com/AxelBk-FanPage,2012-02-27T23:00:00,07,http://www.bandsintown.com/event/4969045?app_id=epfl,http://www.bandsintown.com/venue/1315646,Geneva,46.2,6.1666667,GRIFFIN'S CLUB,4969045,1315646
Vera Cruz,http://www.bandsintown.com/VeraCruz,2012-02-27T19:00:00,ZH,http://www.bandsintown.com/event/4981279?app_id=epfl,http://www.bandsintown.com/venue/1319661,Zurich,47.3831787,8.539669,Dynamo/Werk21,4981279,1319661
Lucio Dalla,http://www.bandsintown.com/LucioDalla,2012-02-27T19:30:00,Switzerland,http://www.bandsintown.com/event/4495015?app_id=epfl,http://www.bandsintown.com/venue/860749,Lucerne,47.051079,8.311669,KKL Luzern,4495015,860749
Ghost Agency,http://www.bandsintown.com/GhostAgency,2012-02-27T20:00:00,25,http://www.bandsintown.com/event/4823469?app_id=epfl,http://www.bandsintown.com/venue/1271054,Zurich,47.3666667,8.55,Vera Cruz (FR) @ Werk 21,4823469,1271054
Kasabian,http://www.bandsintown.com/Kasabian,2012-02-27T20:00:00,25,http://www.bandsintown.com/event/4925624?app_id=epfl,http://www.bandsintown.com/venue/772987,Zürich,47.3868602,8.5168115,Maag Music / Event Hall,4925624,772987
Heidi Happy,http://www.bandsintown.com/HeidiHappy,2012-02-27T20:00:00,ZH,http://www.bandsintown.com/event/4911800?app_id=epfl,http://www.bandsintown.com/venue/306334,Winterthur,47.49848,8.72917,Albani,4911800,306334
The SugaZz,http://www.bandsintown.com/TheSugazz,2012-02-28T21:30:00,Etr,http://www.bandsintown.com/event/5009468?app_id=epfl,http://www.bandsintown.com/venue/805099,Lausanne,46.520172,6.637665,BLEU LEZARD,5009468,805099
Mättu Röthlisberger,http://www.bandsintown.com/M%C3%A4ttuR%C3%B6thlisberger,2012-02-28T21:00:00,05,http://www.bandsintown.com/event/12434787?app_id=epfl,http://www.bandsintown.com/venue/1027405,Bern,46.9166667,7.4666667,ONO,12434787,1027405
Celtic Legends III,http://www.bandsintown.com/CelticLegendsIii,2012-02-28T19:00:00,TG,http://www.bandsintown.com/event/4780881?app_id=epfl,http://www.bandsintown.com/venue/988746,Frauenfeld,47.5568619,8.8952799,Casino,4780881,988746
Albisriederplatz,http://www.bandsintown.com/Albisriederplatz,2012-02-28T20:00:00,25,http://www.bandsintown.com/event/5020537?app_id=epfl,http://www.bandsintown.com/venue/903135,Zurich,47.378021,8.508807,Maiers Theater,5020537,903135
Lucio Dalla,http://www.bandsintown.com/LucioDalla,2012-02-28T20:00:00,Switzerland,http://www.bandsintown.com/event/4495016?app_id=epfl,http://www.bandsintown.com/venue/771839,Zurich,47.366033,8.537234,Kongresshaus Zürich,4495016,771839
Heidi Happy,http://www.bandsintown.com/HeidiHappy,2012-02-28T20:00:00,ZH,http://www.bandsintown.com/event/4911803?app_id=epfl,http://www.bandsintown.com/venue/306334,Winterthur,47.49848,8.72917,Albani,4911803,306334
Orchestre Philharmonique de Monte-Carlo,http://www.bandsintown.com/OrchestrePhilharmoniqueDeMonte-carlo,2012-02-29T20:00:00,Etr,http://www.bandsintown.com/event/4879525?app_id=epfl,http://www.bandsintown.com/venue/169960,Geneve,46.2012,6.141799,VICTORIA HALL,4879525,169960
Lucio Dalla,http://www.bandsintown.com/LucioDalla,2012-02-29T20:30:00,Etr,http://www.bandsintown.com/event/4477376?app_id=epfl,http://www.bandsintown.com/venue/343180,Montreux,46.439312,6.904712,Auditorium Stravinski,4477376,343180
Lio Messi El Numero 1 Del Mundo,http://www.bandsintown.com/LioMessiElNumero1DelMundo,2012-02-29T20:30:00,05,http://www.bandsintown.com/event/5003416?app_id=epfl,http://www.bandsintown.com/venue/1327892,Berne,46.9166667,7.4666667,SWITZERLAND VS. ARGENTINA,5003416,1327892
SPORTEXPRESS Fussballspiel Schweiz,http://www.bandsintown.com/SportexpressFussballspielSchweiz,2012-02-29T17:30:00,,http://www.bandsintown.com/event/5029164?app_id=epfl,http://www.bandsintown.com/venue/840863,Luzern,47.0490818,8.313788,Luzern,5029164,840863
Example,http://www.bandsintown.com/Example,2012-02-29T20:00:00,,http://www.bandsintown.com/event/4658444?app_id=epfl,http://www.bandsintown.com/venue/755393,Zurich,47.385875,8.517408,Harterei Club,4658444,755393
Simple Minds,http://www.bandsintown.com/SimpleMinds,2012-02-29T20:00:00,Etr,http://www.bandsintown.com/event/4773552?app_id=epfl,http://www.bandsintown.com/venue/986964,Zuerich,47.387318,8.499865,KOMPLEX 457,4773552,986964
The Professor,http://www.bandsintown.com/TheProfessor,2012-02-29T20:00:00,04,http://www.bandsintown.com/event/4944577?app_id=epfl,http://www.bandsintown.com/venue/1130825,Basel,47.5666667,7.6,Cafe El Mundo,4944577,1130825
War-head,http://www.bandsintown.com/War-head,2012-03-01T19:00:00,07,http://www.bandsintown.com/event/6972777?app_id=epfl,http://www.bandsintown.com/venue/1938171,Geneva,46.2,6.1666667,L`Ecuire,6972777,1938171
j. irvin dally,http://www.bandsintown.com/J.IrvinDally,2012-03-01T19:00:00,07,http://www.bandsintown.com/event/5029486?app_id=epfl,http://www.bandsintown.com/venue/1336098,Geneve,46.2,6.1666667,Irene's Friend's,5029486,1336098
Papier Tigre,http://www.bandsintown.com/PapierTigre,2012-03-01T20:30:00,Etr,http://www.bandsintown.com/event/4859958?app_id=epfl,http://www.bandsintown.com/venue/794948,Lausanne,46.519894,6.632625,Le Romandie,4859958,794948
Emilie Zoé,http://www.bandsintown.com/EmilieZo%C3%A9,2012-03-01T21:00:00,Canton Of Neuchatel,http://www.bandsintown.com/event/4976424?app_id=epfl,http://www.bandsintown.com/venue/1318030,Neuchatel,46.994469,6.927131,Emilie Zoé @ Bar King,4976424,1318030
Death Players,http://www.bandsintown.com/DeathPlayers,2012-03-01T23:00:00,,http://www.bandsintown.com/event/6003023?app_id=epfl,http://www.bandsintown.com/venue/1635382,Lausanne,46.519588,6.63233,Lausane,6003023,1635382
Dilated Peoples,http://www.bandsintown.com/DilatedPeoples,2012-03-01T19:00:00,05,http://www.bandsintown.com/event/4867858?app_id=epfl,http://www.bandsintown.com/venue/1020389,Buchholterberg,46.81055,7.7093,Dachstock,4867858,1020389
Celtic Legends III,http://www.bandsintown.com/CelticLegendsIii,2012-03-01T19:30:00,Berne,http://www.bandsintown.com/event/4780882?app_id=epfl,http://www.bandsintown.com/venue/1228480,Thun,46.74623,7.63501,KKThun,4780882,1228480
Daniel Meister.,http://www.bandsintown.com/DanielMeister.,2012-03-01T20:00:00,18,http://www.bandsintown.com/event/7103627?app_id=epfl,http://www.bandsintown.com/venue/841698,Solothurn,47.2333333,7.5166667,Kulturm,7103627,841698
Awesome Tapes From Africa,http://www.bandsintown.com/AwesomeTapesFromAfrica,2012-03-01T21:00:00,Canton Of Berne,http://www.bandsintown.com/event/5012901?app_id=epfl,http://www.bandsintown.com/venue/1331141,Berne,46.951694,7.428265,Bonsoir GmbH,5012901,1331141
Kerb,http://www.bandsintown.com/Kerb,2012-03-01T12:00:00,04,http://www.bandsintown.com/event/5021670?app_id=epfl,http://www.bandsintown.com/venue/1334615,Basel,47.5666667,7.6,Streets,5021670,1334615
Hannibal,http://www.bandsintown.com/Hannibal,2012-03-01T19:00:00,25,http://www.bandsintown.com/event/4764268?app_id=epfl,http://www.bandsintown.com/venue/972474,Zurich,47.3666667,8.55,Komplex,4764268,972474
Träume versus,http://www.bandsintown.com/Tr%C3%A4umeVersus,2012-03-01T19:00:00,24,http://www.bandsintown.com/event/7185567?app_id=epfl,http://www.bandsintown.com/venue/2012827,Zug,47.1666667,8.5166667,Chicago Bar,7185567,2012827
Textures,http://www.bandsintown.com/Textures,2012-03-01T20:00:00,01,http://www.bandsintown.com/event/4757835?app_id=epfl,http://www.bandsintown.com/venue/306293,Aarau,47.3833333,8.05,Kiff,4757835,306293
Sylosis,http://www.bandsintown.com/Sylosis,2012-03-01T20:00:00,01,http://www.bandsintown.com/event/4757835?app_id=epfl,http://www.bandsintown.com/venue/306293,Aarau,47.3833333,8.05,Kiff,4757835,306293
da fr3ak,http://www.bandsintown.com/DaFr3ak,2012-03-01T20:00:00,25,http://www.bandsintown.com/event/5012104?app_id=epfl,http://www.bandsintown.com/venue/1330830,Zurich,47.3666667,8.55,"Peoples Bar, Club & Lounge Grand Opening",5012104,1330830
Mount Washington,http://www.bandsintown.com/MountWashington,2012-03-01T20:00:00,Lucerne,http://www.bandsintown.com/event/4755865?app_id=epfl,http://www.bandsintown.com/venue/334152,Lucerne,47.044019,8.311746,Schüür,4755865,334152
The Professor,http://www.bandsintown.com/TheProfessor,2012-03-01T20:00:00,04,http://www.bandsintown.com/event/4944579?app_id=epfl,http://www.bandsintown.com/venue/1130825,Basel,47.5666667,7.6,Cafe El Mundo,4944579,1130825
Blanket,http://www.bandsintown.com/Blanket,2012-03-01T20:00:00,25,http://www.bandsintown.com/event/4959963?app_id=epfl,http://www.bandsintown.com/venue/390920,Zurich,47.374458,8.53397,Stall 6,4959963,390920
DJ JSebK,http://www.bandsintown.com/DjJsebk,2012-03-01T20:00:00,Switzerland,http://www.bandsintown.com/event/4971770?app_id=epfl,http://www.bandsintown.com/venue/328973,Zurich,47.388726,8.525219,Club Indochine,4971770,328973
Tarja Turunen,http://www.bandsintown.com/TarjaTurunen,2012-03-01T20:00:00,Etr,http://www.bandsintown.com/event/4742139?app_id=epfl,http://www.bandsintown.com/venue/986964,Zuerich,47.387318,8.499865,KOMPLEX 457,4742139,986964
Opus C Voll Riniken,http://www.bandsintown.com/OpusCVollRiniken,2012-03-01T20:33:00,01,http://www.bandsintown.com/event/4908016?app_id=epfl,http://www.bandsintown.com/venue/1297545,Riniken,47.494329,8.188843,20:33 Uhr Fasnachtseröffnung Rest. Tannegg,4908016,1297545
Hollow Haze,http://www.bandsintown.com/HollowHaze,2012-03-01T22:00:00,25,http://www.bandsintown.com/event/4718071?app_id=epfl,http://www.bandsintown.com/venue/1235154,Zurich,47.3666667,8.55,Komplex - Supporting Tarja,4718071,1235154
tUnE-YaRdS,http://www.bandsintown.com/tUnE-YaRdS,2012-03-01T20:00:00,Switzerland,http://www.bandsintown.com/event/4681931?app_id=epfl,http://www.bandsintown.com/venue/169988,St. Gallen,47.426563,9.373224,Palace,4681931,169988
Hard Rock Sofa,http://www.bandsintown.com/HardRockSofa,2012-03-02T00:00:00,Switzerland,http://www.bandsintown.com/event/5034147?app_id=epfl,http://www.bandsintown.com/venue/331152,Lausanne,46.52205,6.627243,MAD,5034147,331152
Gelivan,http://www.bandsintown.com/Gelivan,2012-03-02T02:00:00,07,http://www.bandsintown.com/event/5903098?app_id=epfl,http://www.bandsintown.com/venue/1609053,Geneva,46.2,6.1666667,Spoutnik,5903098,1609053
Noisekick,http://www.bandsintown.com/Noisekick,2012-03-02T19:00:00,Switzerland,http://www.bandsintown.com/event/4844423?app_id=epfl,http://www.bandsintown.com/venue/790850,Lausanne,46.519595,6.632335,Loft Club,4844423,790850
Nosfell,http://www.bandsintown.com/Nosfell,2012-03-02T19:00:00,06,http://www.bandsintown.com/event/4806302?app_id=epfl,http://www.bandsintown.com/venue/1265164,Fribourg,46.8,7.15,Octopus,4806302,1265164
Deetron,http://www.bandsintown.com/Deetron,2012-03-02T19:00:00,07,http://www.bandsintown.com/event/4962017?app_id=epfl,http://www.bandsintown.com/venue/1313003,Geneva,46.2,6.1666667,Balance Tour @ Le Zoo,4962017,1313003
Voxset,http://www.bandsintown.com/Voxset,2012-03-02T20:00:00,07,http://www.bandsintown.com/event/5254421?app_id=epfl,http://www.bandsintown.com/venue/1408209,Gland,46.4333333,6.2666667,Théâtre de Grand-Champ,5254421,1408209
Raphael Saadiq,http://www.bandsintown.com/RaphaelSaadiq,2012-03-02T20:00:00,Etr,http://www.bandsintown.com/event/4771408?app_id=epfl,http://www.bandsintown.com/venue/1183013,Lausanne,46.522243,6.618463,Les Docks,4771408,1183013
Heidi Happy,http://www.bandsintown.com/HeidiHappy,2012-03-02T20:00:00,Switzerland,http://www.bandsintown.com/event/4966038?app_id=epfl,http://www.bandsintown.com/venue/850215,Fully,46.13731,7.11978,Méphisto,4966038,850215
Celtic Legends III,http://www.bandsintown.com/CelticLegendsIii,2012-03-02T20:30:00,VS,http://www.bandsintown.com/event/4780883?app_id=epfl,http://www.bandsintown.com/venue/1256814,Saint-Maurice,46.2178001,7.0030499,Théâtre du Martolet,4780883,1256814
Paul Eg,http://www.bandsintown.com/PaulEg,2012-03-02T22:00:00,GE,http://www.bandsintown.com/event/4901324?app_id=epfl,http://www.bandsintown.com/venue/333195,Geneva,46.204,6.13628,Zoo,4901324,333195
Gelivan,http://www.bandsintown.com/Gelivan,2012-03-02T22:00:00,Geneva,http://www.bandsintown.com/event/5903093?app_id=epfl,http://www.bandsintown.com/venue/641375,Geneva,46.201474,6.140584,Cirkus Bar,5903093,641375
Exhumed,http://www.bandsintown.com/Exhumed,2012-03-02T19:00:00,05,http://www.bandsintown.com/event/4838196?app_id=epfl,http://www.bandsintown.com/venue/1276291,Rosshausern,46.9166667,7.2666667,Kulturwerk 118,4838196,1276291
Rotten Sound,http://www.bandsintown.com/RottenSound,2012-03-02T19:00:00,05,http://www.bandsintown.com/event/4838196?app_id=epfl,http://www.bandsintown.com/venue/1276291,Rosshausern,46.9166667,7.2666667,Kulturwerk 118,4838196,1276291
Magrudergrind,http://www.bandsintown.com/Magrudergrind,2012-03-02T19:00:00,05,http://www.bandsintown.com/event/4838196?app_id=epfl,http://www.bandsintown.com/venue/1276291,Rosshausern,46.9166667,7.2666667,Kulturwerk 118,4838196,1276291
Mättu Röthlisberger,http://www.bandsintown.com/M%C3%A4ttuR%C3%B6thlisberger,2012-03-02T21:00:00,BE,http://www.bandsintown.com/event/12434809?app_id=epfl,http://www.bandsintown.com/venue/957421,Berne,46.9464684,7.4381099,Piazza Bar,12434809,957421
James Gruntz,http://www.bandsintown.com/JamesGruntz,2012-03-02T21:00:00,BE,http://www.bandsintown.com/event/4893115?app_id=epfl,http://www.bandsintown.com/venue/957396,Grosshöchstetten,46.9002914,7.63763,Kühltür,4893115,957396
The Situation,http://www.bandsintown.com/TheSituation,2012-03-02T22:00:00,05,http://www.bandsintown.com/event/4982316?app_id=epfl,http://www.bandsintown.com/venue/1169893,Grenchen,47.1833333,7.3833333,Légère Club,4982316,1169893
DJ LAUREN M,http://www.bandsintown.com/DjLaurenM,2012-03-02T12:00:00,,http://www.bandsintown.com/event/4930563?app_id=epfl,http://www.bandsintown.com/venue/842099,Winterthur,47.4982147,8.7234819,Garden Club,4930563,842099
One Sentence. Supervisor,http://www.bandsintown.com/OneSentence.Supervisor,2012-03-02T19:00:00,01,http://www.bandsintown.com/event/4867087?app_id=epfl,http://www.bandsintown.com/venue/306293,Aarau,47.3833333,8.05,Kiff,4867087,306293
International Festival Of Contry Music,http://www.bandsintown.com/InternationalFestivalOfContryMusic,2012-03-02T19:00:00,25,http://www.bandsintown.com/event/4657172?app_id=epfl,http://www.bandsintown.com/venue/170002,Zurich,47.410675,8.552307,Hallenstadion,4657172,170002
International Festival of Country Music,http://www.bandsintown.com/InternationalFestivalOfCountryMusic,2012-03-02T19:00:00,25,http://www.bandsintown.com/event/4657172?app_id=epfl,http://www.bandsintown.com/venue/170002,Zurich,47.410675,8.552307,Hallenstadion,4657172,170002
Reba McEntire,http://www.bandsintown.com/RebaMcentire,2012-03-02T19:00:00,25,http://www.bandsintown.com/event/4657172?app_id=epfl,http://www.bandsintown.com/venue/170002,Zurich,47.410675,8.552307,Hallenstadion,4657172,170002
Gregori Klosman,http://www.bandsintown.com/GregoriKlosman,2012-03-02T19:00:00,25,http://www.bandsintown.com/event/4783145?app_id=epfl,http://www.bandsintown.com/venue/1151980,Zurich,47.3666667,8.55,Dirty Dutch @ Kaufleuten,4783145,1151980
hfn music,http://www.bandsintown.com/HfnMusic,2012-03-02T19:00:00,04,http://www.bandsintown.com/event/4995396?app_id=epfl,http://www.bandsintown.com/venue/1324746,Basel,47.5666667,7.6,Kasper Bjørke @ Hinterhof Bar,4995396,1324746
ELISA JO,http://www.bandsintown.com/ElisaJo,2012-03-02T19:00:00,Switzerland,http://www.bandsintown.com/event/4840018?app_id=epfl,http://www.bandsintown.com/venue/44952,Zurich,47.371722,8.536468,Kaufleuten,4840018,44952
Archers and Arrows,http://www.bandsintown.com/ArchersAndArrows,2012-03-02T19:00:00,Switzerland,http://www.bandsintown.com/event/4902080?app_id=epfl,http://www.bandsintown.com/venue/293614,Basel,47.547538,7.598329,Sommercasino,4902080,293614
If I Die Today,http://www.bandsintown.com/IfIDieToday,2012-03-02T19:00:00,Switzerland,http://www.bandsintown.com/event/4902080?app_id=epfl,http://www.bandsintown.com/venue/293614,Basel,47.547538,7.598329,Sommercasino,4902080,293614
Uncommonmenfrommars,http://www.bandsintown.com/Uncommonmenfrommars,2012-03-02T19:00:00,11,http://www.bandsintown.com/event/4944857?app_id=epfl,http://www.bandsintown.com/venue/298982,Luzern,47.0833333,8.2666667,Sedel,4944857,298982
Dirty Fonzy,http://www.bandsintown.com/DirtyFonzy,2012-03-02T19:00:00,11,http://www.bandsintown.com/event/4944857?app_id=epfl,http://www.bandsintown.com/venue/298982,Luzern,47.0833333,8.2666667,Sedel,4944857,298982
Porn Queen,http://www.bandsintown.com/PornQueen,2012-03-02T19:00:00,,http://www.bandsintown.com/event/5001444?app_id=epfl,http://www.bandsintown.com/venue/840867,Aarburg,47.3201994,7.9071709,Moonwalker Club,5001444,840867
J.Phlip,http://www.bandsintown.com/J.Phlip,2012-03-02T19:00:00,Basel,http://www.bandsintown.com/event/4820716?app_id=epfl,http://www.bandsintown.com/venue/1171782,Basel,47.557421,7.5925727,das lokal,4820716,1171782
deepdive music,http://www.bandsintown.com/DeepdiveMusic,2012-03-02T19:00:00,Switzerland,http://www.bandsintown.com/event/4984821?app_id=epfl,http://www.bandsintown.com/venue/821016,Stans,46.957895,8.365464,Chäslager,4984821,821016
Knackeboul,http://www.bandsintown.com/Knackeboul,2012-03-02T19:00:00,,http://www.bandsintown.com/event/4769526?app_id=epfl,http://www.bandsintown.com/venue/351781,Frauenfeld,47.5610539,8.8939201,Eisenwerk,4769526,351781
Selah Sue,http://www.bandsintown.com/SelahSue,2012-03-02T19:30:00,,http://www.bandsintown.com/event/5036033?app_id=epfl,http://www.bandsintown.com/venue/868508,Zürich,47.3717637,8.5363913,Kaufleuten Festsaal,5036033,868508
Orchestre Philharmonique de Monte-Carlo,http://www.bandsintown.com/OrchestrePhilharmoniqueDeMonte-carlo,2012-03-02T19:30:00,25,http://www.bandsintown.com/event/4879573?app_id=epfl,http://www.bandsintown.com/venue/170014,Zurich,47.366217,8.538193,Tonhalle,4879573,170014
Rodrigo y Gabriela,http://www.bandsintown.com/RodrigoYGabriela,2012-03-02T20:00:00,Etr,http://www.bandsintown.com/event/4853784?app_id=epfl,http://www.bandsintown.com/venue/986964,Zuerich,47.387318,8.499865,KOMPLEX 457,4853784,986964
Talco,http://www.bandsintown.com/Talco,2012-03-02T20:00:00,Etr,http://www.bandsintown.com/event/4854102?app_id=epfl,http://www.bandsintown.com/venue/594255,Zurich,47.383297,8.539312,Dynamo,4854102,594255
Jesse Marco,http://www.bandsintown.com/JesseMarco,2012-03-02T20:00:00,25,http://www.bandsintown.com/event/4876658?app_id=epfl,http://www.bandsintown.com/venue/1147938,Zurich,47.3666667,8.55,CHIC @ Kaufleuten,4876658,1147938
